year,count
1900,1.4855322305606933e-08
1901,1.11414917292052e-08
1902,9.072716689040305e-09
1903,4.729737282382906e-10
1904,5.36515294691231e-10
1905,4.5668801657017254e-10
1906,4.5668801657017254e-10
1907,3.384151778251798e-10
1908,3.934346154421675e-10
1909,3.298930489892271e-10
1910,1.19160573075483e-10
1911,5.951773990320319e-10
1912,5.725028895398054e-10
1913,5.137565040058689e-10
1914,5.137565040058689e-10
1915,9.025895586489696e-10
1916,5.749917098007984e-10
1917,5.764425783927329e-10
1918,5.572788577823396e-10
1919,5.764042951272863e-10
1920,2.4426451278314334e-10
1921,1.2667980414660108e-10
1922,2.187229425354431e-10
1923,6.35956434735796e-10
1924,7.474389884798427e-10
1925,9.180240234663017e-10
1926,2.4773900819674567e-09
1927,2.395786199982375e-09
1928,2.1599112137726807e-09
1929,2.3626419792810437e-09
1930,2.202604029721833e-09
1931,1.445136607602926e-09
1932,4.624555149934651e-09
1933,7.87137847124697e-09
1934,7.969390003470523e-09
1935,8.081412283811318e-09
1936,7.60340185257391e-09
1937,4.672032682950799e-09
1938,1.482575318068058e-09
1939,1.2826412487676465e-09
1940,3.090929001636766e-09
1941,2.8048623090803914e-09
1942,2.526346853937156e-09
1943,2.5530353497948967e-09
1944,3.1785150178542667e-09
1945,4.400416175887045e-09
1946,4.631505756691468e-09
1947,5.028001437423768e-09
1948,6.018822795716972e-09
1949,5.2984450160664665e-09
1950,2.7001808788895686e-09
1951,2.9858584271735823e-09
1952,3.448559726670908e-09
1953,3.1108506659549563e-09
1954,6.315416056779099e-09
1955,7.018261793945157e-09
1956,1.0813320994174091e-08
1957,1.6520474677150786e-08
1958,4.097454375795451e-08
1959,5.0377750504537745e-08
1960,9.719981584055403e-08
1961,1.2111979330597933e-07
1962,1.3684183244322413e-07
1963,1.4023565739762489e-07
1964,1.5703665212640772e-07
1965,1.4280835785029923e-07
1966,1.4808385344622367e-07
1967,1.609071915709137e-07
1968,1.6327682033079328e-07
1969,1.7509325402897958e-07
1970,1.859463054643129e-07
1971,1.9601097562826907e-07
1972,2.1212688920968504e-07
1973,2.3757554288295068e-07
1974,2.457706216318911e-07
1975,2.820029919803346e-07
1976,3.0996874897937234e-07
1977,3.461217431777186e-07
1978,3.840946646960219e-07
1979,4.468320184969343e-07
1980,5.19411690902416e-07
1981,6.606982822177087e-07
1982,8.917600041513652e-07
1983,1.2239423426763096e-06
1984,1.6234616055044172e-06
1985,1.9915826442229444e-06
1986,2.303353790011897e-06
1987,2.456541460560402e-06
1988,2.4900224161683583e-06
1989,2.3884776510385565e-06
1990,2.224629452030058e-06
1991,2.012152276620327e-06
1992,1.8421661025058711e-06
1993,1.6622263956378447e-06
1994,1.4858730537525843e-06
1995,1.3581003940998926e-06
1996,1.256190421372594e-06
1997,1.1508946272442699e-06
1998,1.072660529644054e-06
1999,1.0341383813283756e-06
2000,1.011682161333738e-06
2001,9.97406027636316e-07
2002,9.989403679355747e-07
2003,9.923435527525725e-07
2004,9.769432267603406e-07
2005,9.421273034604383e-07
2006,9.285008104598091e-07
2007,9.012048735712597e-07
2008,8.702844297658885e-07
2009,8.72980092481157e-07
2010,9.211615406456985e-07
2011,9.433993795937568e-07
2012,9.773083206709999e-07
2013,9.967221672013693e-07
2014,1.040993004153279e-06
2015,1.096880225759378e-06
2016,1.3037328130849346e-06
2017,1.7249657616957848e-06
2018,1.9262775765582774e-06
2019,2.1901045480869166e-06
